change_order_id,contract_id,account_id,change_type,effective_date,delta_value_usd,notes
CO-700281,CON-070216,ACC-10060,tier_upgrade,2023-05-10,169829.5,Support tier upgraded
CO-700282,CON-070361,ACC-10129,add_skus,2026-04-23,18745.93,Customer added new product SKUs mid-term
CO-700283,CON-070331,ACC-10115,early_termination_partial,2025-09-19,79148.35,Partial termination of select line items
CO-700284,CON-070719,ACC-10298,increase_qty,2022-08-21,113251.61,Quantity increase on existing line items
CO-700285,CON-071043,ACC-10435,add_skus,2025-11-02,207297.78,Customer added new product SKUs mid-term
CO-700286,CON-070727,ACC-10301,tier_upgrade,2022-11-27,157848.94,Support tier upgraded
CO-700287,CON-070239,ACC-10071,add_skus,2023-07-15,143987.91,Customer added new product SKUs mid-term
CO-700288,CON-070482,ACC-10188,increase_qty,2026-06-04,54642.81,Quantity increase on existing line items
CO-700289,CON-071077,ACC-10449,add_skus,2024-10-08,143732.73,Customer added new product SKUs mid-term
CO-700290,CON-070441,ACC-10170,add_skus,2025-12-01,32395.5,Customer added new product SKUs mid-term
CO-700291,CON-070171,ACC-10044,add_skus,2025-08-25,180354.78,Customer added new product SKUs mid-term
CO-700292,CON-070006,ACC-10002,add_skus,2029-03-27,210260.25,Customer added new product SKUs mid-term
CO-700293,CON-070901,ACC-10375,increase_qty,2023-07-23,12557.49,Quantity increase on existing line items
CO-700294,CON-070550,ACC-10222,increase_qty,2028-05-18,48396.17,Quantity increase on existing line items
CO-700295,CON-070464,ACC-10181,increase_qty,2023-07-22,157612.67,Quantity increase on existing line items
CO-700296,CON-071162,ACC-10484,add_skus,2023-06-27,189425.08,Customer added new product SKUs mid-term
CO-700297,CON-071083,ACC-10452,tier_upgrade,2022-10-13,199696.64,Support tier upgraded
CO-700298,CON-070711,ACC-10293,tier_upgrade,2024-02-17,162678.68,Support tier upgraded
CO-700299,CON-071034,ACC-10430,add_skus,2026-05-04,115985.43,Customer added new product SKUs mid-term
CO-700300,CON-070702,ACC-10289,increase_qty,2025-09-22,40043.69,Quantity increase on existing line items
CO-700301,CON-070555,ACC-10223,increase_qty,2024-02-03,71872.07,Quantity increase on existing line items
CO-700302,CON-070035,ACC-10009,tier_upgrade,2024-02-08,113031.7,Support tier upgraded
CO-700303,CON-070498,ACC-10196,tier_upgrade,2023-04-23,228903.34,Support tier upgraded
CO-700304,CON-071010,ACC-10419,add_skus,2023-07-18,40990.5,Customer added new product SKUs mid-term
CO-700305,CON-070524,ACC-10210,early_termination_partial,2025-09-03,192657.52,Partial termination of select line items
CO-700306,CON-070264,ACC-10084,add_skus,2028-08-20,123982.39,Customer added new product SKUs mid-term
CO-700307,CON-070444,ACC-10171,increase_qty,2023-11-28,48021.97,Quantity increase on existing line items
CO-700308,CON-071180,ACC-10493,add_skus,2022-05-21,123521.34,Customer added new product SKUs mid-term
CO-700309,CON-070598,ACC-10241,add_skus,2026-09-06,11843.89,Customer added new product SKUs mid-term
CO-700310,CON-071125,ACC-10469,increase_qty,2026-03-18,18612.62,Quantity increase on existing line items
CO-700311,CON-070270,ACC-10087,increase_qty,2029-04-01,130679.64,Quantity increase on existing line items
CO-700312,CON-070098,ACC-10024,add_skus,2024-04-17,237663.68,Customer added new product SKUs mid-term
CO-700313,CON-070486,ACC-10190,early_termination_partial,2024-01-13,76194.08,Partial termination of select line items
CO-700314,CON-070678,ACC-10277,add_skus,2025-03-14,127401.12,Customer added new product SKUs mid-term
CO-700315,CON-070717,ACC-10297,add_skus,2023-06-25,78755.06,Customer added new product SKUs mid-term
CO-700316,CON-070494,ACC-10193,tier_upgrade,2026-06-20,233551.6,Support tier upgraded
CO-700317,CON-070487,ACC-10190,tier_upgrade,2024-12-18,170599.03,Support tier upgraded
CO-700318,CON-070017,ACC-10004,tier_upgrade,2026-07-14,130665.77,Support tier upgraded
CO-700319,CON-070501,ACC-10198,add_skus,2024-05-20,117451.75,Customer added new product SKUs mid-term
CO-700320,CON-071182,ACC-10493,increase_qty,2026-05-31,26385.64,Quantity increase on existing line items
CO-700321,CON-070675,ACC-10277,tier_upgrade,2026-10-10,57696.9,Support tier upgraded
CO-700322,CON-070015,ACC-10004,increase_qty,2025-04-11,183443.82,Quantity increase on existing line items
CO-700323,CON-070299,ACC-10100,increase_qty,2026-05-02,81808.7,Quantity increase on existing line items
CO-700324,CON-070988,ACC-10411,increase_qty,2026-09-10,120097.38,Quantity increase on existing line items
CO-700325,CON-070718,ACC-10298,add_skus,2026-05-17,104903.1,Customer added new product SKUs mid-term
CO-700326,CON-070483,ACC-10189,add_skus,2027-05-24,229629.34,Customer added new product SKUs mid-term
CO-700327,CON-070023,ACC-10006,increase_qty,2024-12-15,249931.06,Quantity increase on existing line items
CO-700328,CON-070049,ACC-10013,add_skus,2025-06-08,55349.21,Customer added new product SKUs mid-term
CO-700329,CON-070374,ACC-10136,increase_qty,2026-05-01,32057.3,Quantity increase on existing line items
CO-700330,CON-070373,ACC-10135,increase_qty,2026-11-22,96516.76,Quantity increase on existing line items
CO-700331,CON-070660,ACC-10269,increase_qty,2026-04-19,24053.06,Quantity increase on existing line items
CO-700332,CON-070263,ACC-10084,add_skus,2024-07-14,127518.43,Customer added new product SKUs mid-term
CO-700333,CON-070822,ACC-10345,increase_qty,2022-09-30,220211.23,Quantity increase on existing line items
CO-700334,CON-070938,ACC-10390,increase_qty,2026-06-05,167067.96,Quantity increase on existing line items
CO-700335,CON-071152,ACC-10480,tier_upgrade,2025-03-31,157564.24,Support tier upgraded
CO-700336,CON-070648,ACC-10261,increase_qty,2023-08-16,178576.02,Quantity increase on existing line items
CO-700337,CON-070310,ACC-10105,add_skus,2026-10-08,5937.17,Customer added new product SKUs mid-term
CO-700338,CON-070642,ACC-10259,increase_qty,2027-04-07,242889.64,Quantity increase on existing line items
CO-700339,CON-070209,ACC-10058,add_skus,2024-07-03,172302.22,Customer added new product SKUs mid-term
CO-700340,CON-070304,ACC-10102,increase_qty,2027-05-16,113297.84,Quantity increase on existing line items
CO-700341,CON-071116,ACC-10466,tier_upgrade,2023-07-25,13218.6,Support tier upgraded
CO-700342,CON-070682,ACC-10280,increase_qty,2023-12-03,75506.13,Quantity increase on existing line items
CO-700343,CON-070791,ACC-10331,add_skus,2025-07-28,232785.89,Customer added new product SKUs mid-term
CO-700344,CON-070677,ACC-10277,increase_qty,2026-08-13,16237.28,Quantity increase on existing line items
CO-700345,CON-070073,ACC-10018,tier_upgrade,2027-09-03,31635.44,Support tier upgraded
CO-700346,CON-070891,ACC-10371,tier_upgrade,2026-02-15,157893.26,Support tier upgraded
CO-700347,CON-070725,ACC-10300,tier_upgrade,2026-01-22,123391.66,Support tier upgraded
CO-700348,CON-071013,ACC-10421,increase_qty,2028-12-21,233431.78,Quantity increase on existing line items
CO-700349,CON-070952,ACC-10395,add_skus,2026-06-14,153212.21,Customer added new product SKUs mid-term
CO-700350,CON-070934,ACC-10389,add_skus,2026-01-17,137474.91,Customer added new product SKUs mid-term
CO-700351,CON-070687,ACC-10282,early_termination_partial,2026-06-25,141452.75,Partial termination of select line items
CO-700352,CON-070864,ACC-10360,add_skus,2024-08-02,233619.14,Customer added new product SKUs mid-term
CO-700353,CON-070208,ACC-10057,add_skus,2023-12-26,125106.69,Customer added new product SKUs mid-term
CO-700354,CON-070624,ACC-10253,tier_upgrade,2027-06-30,30961.01,Support tier upgraded
CO-700355,CON-070929,ACC-10386,add_skus,2025-02-13,185041.67,Customer added new product SKUs mid-term
CO-700356,CON-070679,ACC-10278,increase_qty,2026-01-09,125883.4,Quantity increase on existing line items
CO-700357,CON-070780,ACC-10327,tier_upgrade,2027-06-28,8447.66,Support tier upgraded
CO-700358,CON-071141,ACC-10476,increase_qty,2026-04-26,242321.66,Quantity increase on existing line items
CO-700359,CON-070168,ACC-10043,increase_qty,2023-04-29,25290.7,Quantity increase on existing line items
CO-700360,CON-070468,ACC-10182,add_skus,2026-05-08,63527.75,Customer added new product SKUs mid-term
CO-700361,CON-071065,ACC-10444,increase_qty,2025-02-23,79424.89,Quantity increase on existing line items
CO-700362,CON-071080,ACC-10450,increase_qty,2025-02-02,218277.39,Quantity increase on existing line items
CO-700363,CON-070153,ACC-10039,tier_upgrade,2026-05-18,211102.79,Support tier upgraded
CO-700364,CON-070362,ACC-10130,increase_qty,2026-09-14,44894.38,Quantity increase on existing line items
CO-700365,CON-070844,ACC-10353,increase_qty,2024-05-18,52521.1,Quantity increase on existing line items
CO-700366,CON-070371,ACC-10134,tier_upgrade,2026-01-06,162461.56,Support tier upgraded
CO-700367,CON-070937,ACC-10390,increase_qty,2025-04-30,162337.67,Quantity increase on existing line items
CO-700368,CON-070338,ACC-10118,add_skus,2027-08-22,202607.41,Customer added new product SKUs mid-term
CO-700369,CON-070116,ACC-10029,tier_upgrade,2026-07-26,142934.05,Support tier upgraded
CO-700370,CON-070689,ACC-10283,tier_upgrade,2025-02-18,200914.26,Support tier upgraded
CO-700371,CON-070291,ACC-10096,tier_upgrade,2023-10-22,56972.39,Support tier upgraded
CO-700372,CON-071176,ACC-10491,add_skus,2025-04-22,61106.23,Customer added new product SKUs mid-term
CO-700373,CON-070705,ACC-10290,add_skus,2025-02-27,99947.13,Customer added new product SKUs mid-term
CO-700374,CON-070820,ACC-10343,tier_upgrade,2028-06-03,189583.96,Support tier upgraded
CO-700375,CON-070581,ACC-10236,add_skus,2025-03-10,177509.82,Customer added new product SKUs mid-term
CO-700376,CON-070799,ACC-10335,increase_qty,2026-05-01,224960.23,Quantity increase on existing line items
CO-700377,CON-071073,ACC-10448,add_skus,2024-10-03,149511.16,Customer added new product SKUs mid-term
CO-700378,CON-070878,ACC-10365,increase_qty,2022-12-11,197807.74,Quantity increase on existing line items
CO-700379,CON-070860,ACC-10359,tier_upgrade,2024-07-07,133447.53,Support tier upgraded
CO-700380,CON-070849,ACC-10355,increase_qty,2025-06-24,47426.38,Quantity increase on existing line items
CO-700381,CON-071186,ACC-10495,add_skus,2025-07-18,124968.48,Customer added new product SKUs mid-term
CO-700382,CON-070258,ACC-10080,increase_qty,2028-12-25,71356.01,Quantity increase on existing line items
CO-700383,CON-070467,ACC-10182,add_skus,2024-04-06,199777.09,Customer added new product SKUs mid-term
CO-700384,CON-070259,ACC-10081,add_skus,2025-04-28,104713.96,Customer added new product SKUs mid-term
CO-700385,CON-070296,ACC-10098,tier_upgrade,2027-11-25,94077.64,Support tier upgraded
CO-700386,CON-070014,ACC-10004,tier_upgrade,2026-03-06,15056.22,Support tier upgraded
CO-700387,CON-070651,ACC-10262,increase_qty,2026-02-11,57725.57,Quantity increase on existing line items
CO-700388,CON-070893,ACC-10372,increase_qty,2024-10-27,247434.62,Quantity increase on existing line items
CO-700389,CON-070094,ACC-10023,early_termination_partial,2026-05-30,32192.83,Partial termination of select line items
CO-700390,CON-070425,ACC-10163,add_skus,2024-06-25,115748.91,Customer added new product SKUs mid-term
CO-700391,CON-070084,ACC-10021,add_skus,2022-08-10,25872.93,Customer added new product SKUs mid-term
CO-700392,CON-070973,ACC-10405,increase_qty,2024-10-29,35215.94,Quantity increase on existing line items
CO-700393,CON-070633,ACC-10256,add_skus,2025-02-20,201104.53,Customer added new product SKUs mid-term
CO-700394,CON-071107,ACC-10463,add_skus,2026-04-04,239684.4,Customer added new product SKUs mid-term
CO-700395,CON-070990,ACC-10411,increase_qty,2025-03-02,211714.84,Quantity increase on existing line items
CO-700396,CON-070274,ACC-10089,increase_qty,2024-08-30,117381.17,Quantity increase on existing line items
CO-700397,CON-070221,ACC-10062,add_skus,2025-06-17,199892.94,Customer added new product SKUs mid-term
CO-700398,CON-071181,ACC-10493,increase_qty,2026-02-11,54820.13,Quantity increase on existing line items
CO-700399,CON-070422,ACC-10161,increase_qty,2023-11-22,241092.21,Quantity increase on existing line items
CO-700400,CON-071031,ACC-10428,add_skus,2027-08-18,41688.89,Customer added new product SKUs mid-term
